template,test_image,score
template_16,template_01,0.19222040474414825
template_16,template_02,0.21077008545398712
template_16,template_03,0.20547087490558624
template_16,template_04,0.17897474765777588
template_16,template_05,0.1736755520105362
template_16,template_06,0.20547083020210266
template_16,template_07,0.20017164945602417
template_16,template_08,0.17803248763084412
template_16,template_09,0.21077002584934235
template_16,template_10,0.288190633058548
template_16,template_11,0.3849145472049713
template_16,template_12,0.4191936254501343
template_16,template_13,0.4483550786972046
template_16,template_14,0.5028737187385559
template_16,template_15,0.5439919829368591
template_16,template_16,0.8236868381500244
template_17,template_00,0.18591700494289398
template_17,template_01,0.18876901268959045
template_17,template_02,0.18591700494289398
template_17,template_03,0.18591715395450592
template_17,template_04,0.18591709434986115
template_17,template_05,0.19384904205799103
template_17,template_06,0.18375521898269653
template_17,template_07,0.2019382119178772
template_17,template_08,0.18591703474521637
template_17,template_09,0.20500901341438293
template_17,template_10,0.22800859808921814
template_17,template_11,0.2915802001953125
template_17,template_12,0.3137105703353882
template_17,template_13,0.3610812723636627
template_17,template_14,0.3871106207370758
template_17,template_15,0.39661556482315063
template_17,template_16,0.4897078573703766
template_17,template_17,0.8135953545570374
template_18,template_00,0.2245815396308899
template_18,template_01,0.22487683594226837
template_18,template_02,0.21069002151489258
template_18,template_03,0.18357783555984497
template_18,template_04,0.22157366573810577
template_18,template_05,0.20431643724441528
template_18,template_06,0.19280962646007538
template_18,template_07,0.2257334291934967
template_18,template_08,0.21126240491867065
template_18,template_09,0.2124188244342804
template_18,template_10,0.23832564055919647
template_18,template_11,0.20018768310546875
template_18,template_12,0.23314908146858215
template_18,template_13,0.21710191667079926
template_18,template_14,0.21552732586860657
template_18,template_15,0.24795188009738922
template_18,template_16,0.3043099045753479
template_18,template_17,0.3994309604167938
template_18,template_18,0.7703649401664734
