template,test_image,score
template_20,template_14,0.16885536909103394
template_20,template_15,0.1727798730134964
template_20,template_16,0.16072076559066772
template_20,template_17,0.16122658550739288
template_20,template_18,0.16057349741458893
template_20,template_19,0.18750546872615814
template_20,template_20,0.8369022011756897
template_21,template_01,0.1837734431028366
template_21,template_02,0.16285663843154907
template_21,template_03,0.19095763564109802
template_21,template_04,0.1709558367729187
template_21,template_05,0.1893225610256195
template_21,template_06,0.17549963295459747
template_21,template_07,0.16786794364452362
template_21,template_08,0.20719380676746368
template_21,template_09,0.21270470321178436
template_21,template_10,0.18967510759830475
template_21,template_11,0.20611390471458435
template_21,template_12,0.17983658611774445
template_21,template_13,0.1645338386297226
template_21,template_14,0.20558184385299683
template_21,template_15,0.17934423685073853
template_21,template_16,0.16771471500396729
template_21,template_17,0.18723079562187195
template_21,template_18,0.18204103410243988
template_21,template_19,0.18297690153121948
template_21,template_20,0.196805939078331
template_21,template_21,0.9039469361305237
