epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,731.714,0.86555,0.43135,0.8008,0.96925,0.95512,0.97781,0.72373,0.82861,0.43827,0.80843,0.000322871,0.000322871,0.000322871
85,740.483,0.80156,0.41222,0.80087,0.97686,0.92355,0.97675,0.72315,0.84852,0.43042,0.80745,0.000318158,0.000318158,0.000318158
86,749.178,0.79964,0.39992,0.80474,0.96612,0.94723,0.97818,0.72152,0.83816,0.43138,0.80675,0.000313446,0.000313446,0.000313446
87,757.897,0.81303,0.40412,0.80656,0.9721,0.9374,0.9793,0.72586,0.81182,0.42719,0.80529,0.000308734,0.000308734,0.000308734
88,766.603,0.80435,0.40688,0.79951,0.96412,0.93892,0.97667,0.73104,0.81788,0.43753,0.80484,0.000304021,0.000304021,0.000304021
89,775.432,0.80512,0.40954,0.80383,0.95572,0.94065,0.97456,0.71422,0.84336,0.45304,0.80948,0.000299309,0.000299309,0.000299309
90,784.137,0.81031,0.41137,0.79981,0.95628,0.94708,0.97624,0.71904,0.84564,0.44023,0.80947,0.000294596,0.000294596,0.000294596
91,792.873,0.82386,0.41868,0.79845,0.95705,0.96395,0.97757,0.71904,0.83298,0.43918,0.80713,0.000289884,0.000289884,0.000289884
92,801.608,0.79149,0.40615,0.80246,0.96236,0.94669,0.97633,0.7233,0.81926,0.44212,0.80734,0.000285172,0.000285172,0.000285172
93,810.277,0.77693,0.39072,0.80164,0.95933,0.93227,0.97578,0.72303,0.82805,0.44474,0.81028,0.000280459,0.000280459,0.000280459
94,819,0.79286,0.39711,0.79871,0.97334,0.93902,0.97523,0.72068,0.82307,0.44964,0.80864,0.000275747,0.000275747,0.000275747
95,827.745,0.78553,0.39465,0.79973,0.95813,0.94233,0.97292,0.71784,0.81017,0.44376,0.80722,0.000271034,0.000271034,0.000271034
96,836.446,0.79165,0.40002,0.79771,0.94749,0.93564,0.97351,0.71081,0.82987,0.47836,0.8068,0.000266322,0.000266322,0.000266322
97,845.184,0.82103,0.41457,0.80192,0.96552,0.92174,0.97144,0.71608,0.82354,0.4446,0.81004,0.00026161,0.00026161,0.00026161
98,853.857,0.78694,0.39976,0.79958,0.95845,0.92869,0.97294,0.72183,0.813,0.44613,0.80743,0.000256897,0.000256897,0.000256897
99,862.591,0.80175,0.41136,0.80098,0.9452,0.9344,0.97425,0.7181,0.84748,0.4542,0.81104,0.000252185,0.000252185,0.000252185
100,871.306,0.78259,0.39533,0.79722,0.9575,0.933,0.9751,0.73105,0.78734,0.43099,0.80486,0.000247472,0.000247472,0.000247472
101,880.022,0.78084,0.39171,0.79873,0.93591,0.94642,0.97428,0.72714,0.78976,0.43011,0.80535,0.00024276,0.00024276,0.00024276
102,888.734,0.75172,0.37996,0.79368,0.94297,0.95178,0.97678,0.72965,0.80518,0.43034,0.80535,0.000238048,0.000238048,0.000238048
103,897.414,0.73982,0.3821,0.80033,0.96149,0.93198,0.97308,0.72833,0.80978,0.42975,0.80684,0.000233335,0.000233335,0.000233335
104,906.127,0.72747,0.3759,0.79446,0.95503,0.94218,0.97325,0.72526,0.80691,0.42174,0.80656,0.000228623,0.000228623,0.000228623
105,914.872,0.7548,0.38132,0.79444,0.96902,0.93306,0.9752,0.72922,0.82482,0.44434,0.80708,0.00022391,0.00022391,0.00022391
106,923.581,0.76793,0.38516,0.79779,0.95974,0.93309,0.97456,0.72217,0.821,0.43815,0.80595,0.000219198,0.000219198,0.000219198
107,932.35,0.75578,0.38479,0.80047,0.97546,0.91639,0.97632,0.72687,0.80918,0.42782,0.80386,0.000214486,0.000214486,0.000214486
108,941.064,0.74742,0.37928,0.80082,0.95623,0.94334,0.9762,0.72067,0.80704,0.42918,0.8028,0.000209773,0.000209773,0.000209773
109,949.784,0.75017,0.37913,0.79258,0.95837,0.9453,0.97835,0.72762,0.80119,0.43325,0.80246,0.000205061,0.000205061,0.000205061
110,958.495,0.74245,0.37411,0.79949,0.9532,0.94554,0.97313,0.73443,0.79114,0.42728,0.80202,0.000200348,0.000200348,0.000200348
111,967.336,0.76657,0.38379,0.7954,0.93937,0.96006,0.97566,0.72168,0.83567,0.43568,0.80546,0.000195636,0.000195636,0.000195636
112,976.048,0.75221,0.38204,0.80077,0.94626,0.95821,0.97341,0.7311,0.79367,0.42182,0.8037,0.000190924,0.000190924,0.000190924
113,984.802,0.74338,0.37361,0.79703,0.943,0.9549,0.97827,0.73244,0.79175,0.42307,0.80264,0.000186211,0.000186211,0.000186211
114,993.492,0.7016,0.36309,0.79744,0.94875,0.95532,0.98009,0.73093,0.79708,0.42628,0.80427,0.000181499,0.000181499,0.000181499
115,1002.27,0.74353,0.37053,0.79162,0.95916,0.95714,0.97965,0.73383,0.80097,0.42389,0.80497,0.000176786,0.000176786,0.000176786
116,1011.1,0.75126,0.37563,0.79439,0.95945,0.9619,0.98127,0.73021,0.78591,0.4205,0.80316,0.000172074,0.000172074,0.000172074
117,1019.83,0.73538,0.37153,0.79372,0.95996,0.9667,0.98149,0.73143,0.80664,0.42152,0.80512,0.000167362,0.000167362,0.000167362
118,1028.52,0.72074,0.36557,0.79267,0.96147,0.96574,0.9804,0.73492,0.78695,0.41727,0.80189,0.000162649,0.000162649,0.000162649
